household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"$15,000 to $24,999",43.0,No,Fluctuating,3 – my time fluctuates,15688.0
"$25,000 to $34,999",29.0,Yes,Fluctuating,3 – my time fluctuates,31993.0
"$15,000 to $24,999",50.0,No,Unstable,2 – I can afford only some of these items,20636.0
"$15,000 to $24,999",19.0,No,Fluctuating,2 – I can afford only some of these items,15835.0
"$75,000 to $99,999",64.0,Yes,Fluctuating,3 – my time fluctuates,89534.0
"$15,000 to $24,999",56.0,No,Unstable,2 – I can afford only some of these items,23444.0
"Under $15,000",29.0,No,Extremely unstable,2 – I can afford only some of these items,6701.0
"$35,000 to $49,999",26.0,Yes,Stable,3 – my time fluctuates,47268.0
"$25,000 to $34,999",36.0,No,Unstable,1 – I cannot afford these items,28257.0
"$15,000 to $24,999",31.0,No,Extremely unstable,1 – I cannot afford these items,16428.0
"$15,000 to $24,999",30.0,No,Fluctuating,3 – my time fluctuates,19598.0
"$15,000 to $24,999",36.0,Yes,Unstable,2 – I can afford only some of these items,22427.0
"$35,000 to $49,999",36.0,No,Unstable,4 – I can afford these items,40448.0
"$50,000 to $74,999",38.0,No,Extremely unstable,1 – I cannot afford these items,54205.0
"Under $15,000",40.0,No,Unstable,2 – I can afford only some of these items,14630.0
"$25,000 to $34,999",24.0,Yes,Fluctuating,3 – my time fluctuates,28447.0
"Under $15,000",24.0,No,Fluctuating,2 – I can afford only some of these items,8906.0
"$15,000 to $24,999",32.0,No,Extremely unstable,3 – my time fluctuates,23934.0
"$35,000 to $49,999",31.0,Yes,Fluctuating,4 – I can afford these items,37482.0
"$50,000 to $74,999",31.0,Yes,Fluctuating,3 – my time fluctuates,69356.0
"$35,000 to $49,999",28.0,No,Extremely unstable,1 – I cannot afford these items,37336.0
"$15,000 to $24,999",49.0,Yes,Unstable,1 – I cannot afford these items,21570.0
"$25,000 to $34,999",27.0,No,Unstable,1 – I cannot afford these items,28577.0
"$25,000 to $34,999",46.0,No,Extremely unstable,1 – I cannot afford these items,33890.0
"Under $15,000",20.0,No,Extremely unstable,1 – I cannot afford these items,8014.0
"Under $15,000",35.0,No,Extremely unstable,1 – I cannot afford these items,2172.0
"$25,000 to $34,999",47.0,Yes,Fluctuating,3 – my time fluctuates,25688.0
"$35,000 to $49,999",27.0,Yes,Fluctuating,2 – I can afford only some of these items,38028.0
"Under $15,000",38.0,No,Fluctuating,3 – my time fluctuates,4005.0
"$15,000 to $24,999",24.0,Yes,Unstable,2 – I can afford only some of these items,17205.0
"$35,000 to $49,999",40.0,Yes,Fluctuating,3 – my time fluctuates,38800.0
"$100,000 to $149,999",27.0,Yes,Unstable,2 – I can afford only some of these items,122312.0
"Under $15,000",32.0,No,Unstable,1 – I cannot afford these items,2701.0
"$15,000 to $24,999",42.0,Yes,Fluctuating,3 – my time fluctuates,24989.0
"$15,000 to $24,999",43.0,Yes,Unstable,2 – I can afford only some of these items,18649.0
"$35,000 to $49,999",46.0,No,Fluctuating,2 – I can afford only some of these items,35956.0
"$15,000 to $24,999",23.0,Yes,Unstable,1 – I cannot afford these items,22688.0
"$35,000 to $49,999",32.0,No,Fluctuating,2 – I can afford only some of these items,45302.0
"$25,000 to $34,999",29.0,Yes,Extremely unstable,1 – I cannot afford these items,26684.0
"$15,000 to $24,999",46.0,Yes,Fluctuating,2 – I can afford only some of these items,22488.0
"$15,000 to $24,999",26.0,No,Unstable,1 – I cannot afford these items,16047.0
"$35,000 to $49,999",44.0,No,Unstable,1 – I cannot afford these items,38010.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,19024.0
"$15,000 to $24,999",52.0,Yes,Extremely unstable,2 – I can afford only some of these items,23075.0
"$15,000 to $24,999",39.0,No,Extremely unstable,1 – I cannot afford these items,19244.0
"Under $15,000",37.0,No,Unstable,1 – I cannot afford these items,14324.0
"$25,000 to $34,999",32.0,No,Fluctuating,2 – I can afford only some of these items,25175.0
"$15,000 to $24,999",42.0,Yes,Extremely unstable,2 – I can afford only some of these items,19984.0
"$15,000 to $24,999",38.0,Yes,Unstable,2 – I can afford only some of these items,15827.0
"$15,000 to $24,999",29.0,No,Unstable,2 – I can afford only some of these items,17592.0
"$25,000 to $34,999",35.0,Yes,Unstable,3 – my time fluctuates,32801.0
"$35,000 to $49,999",28.0,No,Stable,2 – I can afford only some of these items,49810.0
"$50,000 to $74,999",34.0,Yes,Fluctuating,3 – my time fluctuates,62991.0
"$25,000 to $34,999",36.0,No,Fluctuating,2 – I can afford only some of these items,32993.0
"$15,000 to $24,999",47.0,No,Unstable,2 – I can afford only some of these items,20346.0
"$25,000 to $34,999",33.0,Yes,Unstable,1 – I cannot afford these items,29906.0
"$15,000 to $24,999",60.0,No,Extremely unstable,1 – I cannot afford these items,22816.0
"$25,000 to $34,999",50.0,Yes,Unstable,3 – my time fluctuates,34817.0
"Under $15,000",23.0,No,Fluctuating,2 – I can afford only some of these items,838.0
"$15,000 to $24,999",56.0,No,Unstable,1 – I cannot afford these items,15884.0
"$50,000 to $74,999",40.0,No,Unstable,2 – I can afford only some of these items,71477.0
"$35,000 to $49,999",26.0,Yes,Fluctuating,1 – I cannot afford these items,44523.0
"$15,000 to $24,999",35.0,No,Unstable,3 – my time fluctuates,19719.0
"$15,000 to $24,999",51.0,No,Extremely unstable,1 – I cannot afford these items,21273.0
"$15,000 to $24,999",73.0,No,Unstable,1 – I cannot afford these items,22689.0
"$35,000 to $49,999",39.0,No,Fluctuating,2 – I can afford only some of these items,40318.0
"$15,000 to $24,999",31.0,No,Unstable,1 – I cannot afford these items,16693.0
"$50,000 to $74,999",27.0,No,Fluctuating,3 – my time fluctuates,53632.0
"Under $15,000",60.0,Yes,Unstable,1 – I cannot afford these items,8496.0
"Under $15,000",38.0,No,Unstable,2 – I can afford only some of these items,7755.0
"Under $15,000",36.0,No,Extremely unstable,2 – I can afford only some of these items,12275.0
"Under $15,000",33.0,Yes,Unstable,2 – I can afford only some of these items,408.0
"$25,000 to $34,999",43.0,Yes,Fluctuating,4 – I can afford these items,29260.0
"$15,000 to $24,999",24.0,No,Extremely unstable,1 – I cannot afford these items,16623.0
"$75,000 to $99,999",33.0,No,Fluctuating,3 – my time fluctuates,90584.0
"$15,000 to $24,999",68.0,No,Unstable,2 – I can afford only some of these items,23021.0
"$15,000 to $24,999",34.0,Yes,Unstable,2 – I can afford only some of these items,17837.0
"$35,000 to $49,999",29.0,No,Fluctuating,2 – I can afford only some of these items,41357.0
"Under $15,000",44.0,No,Extremely unstable,1 – I cannot afford these items,7262.0
"$15,000 to $24,999",38.0,No,Unstable,2 – I can afford only some of these items,17048.0
"Under $15,000",29.0,Yes,Fluctuating,2 – I can afford only some of these items,14156.0
"$15,000 to $24,999",66.0,No,Extremely unstable,1 – I cannot afford these items,19550.0
"$15,000 to $24,999",62.0,No,Unstable,2 – I can afford only some of these items,16567.0
"Under $15,000",42.0,Yes,Unstable,2 – I can afford only some of these items,13885.0
"$15,000 to $24,999",26.0,No,Unstable,2 – I can afford only some of these items,16759.0
"$15,000 to $24,999",39.0,Yes,Fluctuating,3 – my time fluctuates,17684.0
"$35,000 to $49,999",50.0,No,Unstable,3 – my time fluctuates,48519.0
"$15,000 to $24,999",31.0,No,Unstable,1 – I cannot afford these items,24047.0
"$15,000 to $24,999",54.0,Yes,Fluctuating,4 – I can afford these items,21897.0
"$25,000 to $34,999",34.0,Yes,Unstable,3 – my time fluctuates,25686.0
"Under $15,000",20.0,No,Unstable,2 – I can afford only some of these items,3778.0
"$15,000 to $24,999",30.0,No,Extremely unstable,1 – I cannot afford these items,17622.0
"$15,000 to $24,999",31.0,No,Extremely unstable,2 – I can afford only some of these items,17831.0
"$25,000 to $34,999",49.0,Yes,Unstable,2 – I can afford only some of these items,25809.0
"Under $15,000",35.0,No,Unstable,1 – I cannot afford these items,8136.0
"$35,000 to $49,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,38744.0
"$15,000 to $24,999",50.0,No,Extremely unstable,1 – I cannot afford these items,16111.0
"$35,000 to $49,999",37.0,Yes,Stable,1 – I cannot afford these items,44919.0
"Under $15,000",22.0,No,Extremely unstable,2 – I can afford only some of these items,5690.0
"$15,000 to $24,999",34.0,Yes,Unstable,3 – my time fluctuates,21478.0
"$15,000 to $24,999",38.0,Yes,Unstable,1 – I cannot afford these items,24672.0
"Under $15,000",33.0,No,Extremely unstable,1 – I cannot afford these items,13768.0
"$15,000 to $24,999",25.0,No,Extremely unstable,1 – I cannot afford these items,19342.0
"$15,000 to $24,999",25.0,No,Unstable,1 – I cannot afford these items,23666.0
"$25,000 to $34,999",26.0,No,Unstable,1 – I cannot afford these items,32344.0
"$35,000 to $49,999",40.0,No,Unstable,2 – I can afford only some of these items,42925.0
"$15,000 to $24,999",26.0,Yes,Unstable,2 – I can afford only some of these items,21878.0
"$15,000 to $24,999",30.0,No,Extremely unstable,1 – I cannot afford these items,16596.0
"$15,000 to $24,999",24.0,No,Fluctuating,1 – I cannot afford these items,20738.0
"$35,000 to $49,999",27.0,No,Fluctuating,2 – I can afford only some of these items,49400.0
"$35,000 to $49,999",29.0,No,Unstable,2 – I can afford only some of these items,40336.0
"$25,000 to $34,999",31.0,No,Unstable,1 – I cannot afford these items,30948.0
"$25,000 to $34,999",34.0,Yes,Unstable,3 – my time fluctuates,32313.0
"$15,000 to $24,999",32.0,No,Extremely unstable,3 – my time fluctuates,17205.0
"$35,000 to $49,999",33.0,Yes,Fluctuating,3 – my time fluctuates,39988.0
"$15,000 to $24,999",24.0,No,Fluctuating,2 – I can afford only some of these items,15562.0
"Under $15,000",37.0,Yes,Fluctuating,3 – my time fluctuates,4644.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,23700.0
"$15,000 to $24,999",76.0,No,Extremely unstable,1 – I cannot afford these items,22341.0
"$35,000 to $49,999",25.0,Yes,Unstable,2 – I can afford only some of these items,46755.0
"Under $15,000",24.0,No,Extremely unstable,1 – I cannot afford these items,6583.0
"$15,000 to $24,999",42.0,Yes,Stable,3 – my time fluctuates,16433.0
"Under $15,000",24.0,No,Extremely unstable,1 – I cannot afford these items,14708.0
"Under $15,000",41.0,No,Unstable,2 – I can afford only some of these items,14555.0
"$35,000 to $49,999",26.0,No,Fluctuating,3 – my time fluctuates,35130.0
"Under $15,000",45.0,No,Extremely unstable,1 – I cannot afford these items,11492.0
"$15,000 to $24,999",29.0,Yes,Fluctuating,3 – my time fluctuates,16210.0
"$15,000 to $24,999",26.0,No,Unstable,1 – I cannot afford these items,19733.0
"Under $15,000",72.0,No,Fluctuating,2 – I can afford only some of these items,5561.0
"Under $15,000",40.0,No,Extremely unstable,1 – I cannot afford these items,9644.0
"Under $15,000",44.0,No,Extremely unstable,1 – I cannot afford these items,4997.0
"Under $15,000",35.0,No,Extremely unstable,1 – I cannot afford these items,10453.0
"$15,000 to $24,999",47.0,No,Extremely unstable,1 – I cannot afford these items,16356.0
"$25,000 to $34,999",53.0,No,Unstable,1 – I cannot afford these items,29505.0
"$15,000 to $24,999",21.0,Yes,Fluctuating,2 – I can afford only some of these items,16744.0
"$35,000 to $49,999",26.0,No,Extremely unstable,2 – I can afford only some of these items,46381.0
"Under $15,000",24.0,No,Extremely unstable,2 – I can afford only some of these items,8770.0
"Under $15,000",38.0,No,Extremely unstable,1 – I cannot afford these items,795.0
"Under $15,000",22.0,No,Unstable,1 – I cannot afford these items,10075.0
"$15,000 to $24,999",33.0,Yes,Unstable,2 – I can afford only some of these items,20727.0
"$15,000 to $24,999",32.0,No,Fluctuating,3 – my time fluctuates,22285.0
"$100,000 to $149,999",28.0,Yes,Fluctuating,4 – I can afford these items,115762.0
"$15,000 to $24,999",24.0,No,Unstable,2 – I can afford only some of these items,21293.0
"$15,000 to $24,999",35.0,No,Extremely unstable,1 – I cannot afford these items,18461.0
"$25,000 to $34,999",44.0,No,Extremely unstable,2 – I can afford only some of these items,27598.0
"$15,000 to $24,999",25.0,No,Extremely unstable,1 – I cannot afford these items,16672.0
"Under $15,000",38.0,No,Unstable,1 – I cannot afford these items,4600.0
"Under $15,000",42.0,No,Extremely unstable,1 – I cannot afford these items,10488.0
"$15,000 to $24,999",33.0,No,Unstable,2 – I can afford only some of these items,16601.0
"$15,000 to $24,999",25.0,Yes,Fluctuating,3 – my time fluctuates,20501.0
"$25,000 to $34,999",39.0,No,Unstable,1 – I cannot afford these items,27095.0
"Under $15,000",29.0,Yes,Fluctuating,2 – I can afford only some of these items,8802.0
"$50,000 to $74,999",36.0,Yes,Fluctuating,3 – my time fluctuates,64273.0
"$15,000 to $24,999",42.0,Yes,Unstable,2 – I can afford only some of these items,20930.0
"Under $15,000",30.0,Yes,Fluctuating,2 – I can afford only some of these items,1487.0
"$50,000 to $74,999",31.0,Yes,Fluctuating,3 – my time fluctuates,53735.0
"Under $15,000",24.0,Yes,Fluctuating,2 – I can afford only some of these items,1793.0
"Under $15,000",44.0,No,Unstable,2 – I can afford only some of these items,6674.0
"$35,000 to $49,999",32.0,No,Unstable,2 – I can afford only some of these items,40842.0
"$15,000 to $24,999",26.0,No,Unstable,2 – I can afford only some of these items,19398.0
"$15,000 to $24,999",27.0,No,Extremely unstable,1 – I cannot afford these items,17148.0
"$15,000 to $24,999",23.0,No,Extremely unstable,1 – I cannot afford these items,23361.0
"$15,000 to $24,999",36.0,No,Fluctuating,3 – my time fluctuates,20076.0
"$35,000 to $49,999",45.0,No,Extremely unstable,2 – I can afford only some of these items,38877.0
"Under $15,000",29.0,No,Unstable,2 – I can afford only some of these items,9882.0
"$15,000 to $24,999",34.0,No,Extremely unstable,1 – I cannot afford these items,24756.0
"$25,000 to $34,999",34.0,Yes,Extremely unstable,2 – I can afford only some of these items,26957.0
"$50,000 to $74,999",28.0,Yes,Stable,1 – I cannot afford these items,55030.0
"$50,000 to $74,999",46.0,No,Fluctuating,2 – I can afford only some of these items,67690.0
"$15,000 to $24,999",28.0,Yes,Fluctuating,2 – I can afford only some of these items,15383.0
"$15,000 to $24,999",44.0,No,Unstable,1 – I cannot afford these items,19150.0
"Under $15,000",27.0,No,Extremely unstable,1 – I cannot afford these items,7373.0
"$50,000 to $74,999",72.0,Yes,Unstable,2 – I can afford only some of these items,57328.0
"$15,000 to $24,999",36.0,Yes,Unstable,3 – my time fluctuates,16675.0
"Under $15,000",64.0,No,Unstable,1 – I cannot afford these items,12620.0
"Under $15,000",37.0,No,Extremely unstable,1 – I cannot afford these items,3426.0
"$25,000 to $34,999",37.0,No,Extremely unstable,2 – I can afford only some of these items,25615.0
"$15,000 to $24,999",35.0,Yes,Unstable,2 – I can afford only some of these items,15436.0
"$35,000 to $49,999",35.0,Yes,Unstable,2 – I can afford only some of these items,45119.0
"$35,000 to $49,999",63.0,Yes,Unstable,3 – my time fluctuates,35640.0
