household_income_2021,age,finance_400_emergency,financial_stability,financial_capacity,income
"$35,000 to $49,999",58.0,Yes,Fluctuating,2 – I can afford only some of these items,35617.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,15615.0
"$15,000 to $24,999",47.0,No,Unstable,2 – I can afford only some of these items,23517.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,16622.0
"$35,000 to $49,999",30.0,No,Unstable,2 – I can afford only some of these items,40003.0
"$35,000 to $49,999",25.0,No,Fluctuating,2 – I can afford only some of these items,36109.0
"$15,000 to $24,999",34.0,No,Unstable,1 – I cannot afford these items,21855.0
"$25,000 to $34,999",34.0,No,Unstable,1 – I cannot afford these items,29913.0
"$75,000 to $99,999",63.0,Yes,Unstable,2 – I can afford only some of these items,92795.0
"Under $15,000",23.0,No,Fluctuating,1 – I cannot afford these items,6138.0
"Under $15,000",48.0,Yes,Unstable,2 – I can afford only some of these items,6135.0
"$15,000 to $24,999",28.0,No,Unstable,2 – I can afford only some of these items,16330.0
"Under $15,000",26.0,No,Fluctuating,3 – my time fluctuates,2281.0
"$15,000 to $24,999",29.0,No,Extremely unstable,1 – I cannot afford these items,15343.0
"$15,000 to $24,999",45.0,No,Unstable,2 – I can afford only some of these items,23139.0
"Under $15,000",49.0,No,Fluctuating,2 – I can afford only some of these items,8362.0
"$25,000 to $34,999",25.0,No,Fluctuating,2 – I can afford only some of these items,29061.0
"$15,000 to $24,999",58.0,Yes,Fluctuating,3 – my time fluctuates,15332.0
"$35,000 to $49,999",38.0,Yes,Fluctuating,3 – my time fluctuates,45887.0
"$25,000 to $34,999",32.0,Yes,Fluctuating,3 – my time fluctuates,25076.0
"$15,000 to $24,999",25.0,No,Extremely unstable,1 – I cannot afford these items,22291.0
"$35,000 to $49,999",30.0,No,Unstable,2 – I can afford only some of these items,47055.0
"$15,000 to $24,999",23.0,Yes,Fluctuating,2 – I can afford only some of these items,16830.0
"$35,000 to $49,999",23.0,No,Fluctuating,2 – I can afford only some of these items,36874.0
"Under $15,000",27.0,Yes,Fluctuating,2 – I can afford only some of these items,327.0
"$15,000 to $24,999",30.0,No,Unstable,1 – I cannot afford these items,23597.0
"Under $15,000",59.0,No,Extremely unstable,1 – I cannot afford these items,548.0
"$100,000 to $149,999",48.0,No,Fluctuating,4 – I can afford these items,124634.0
"Under $15,000",20.0,No,Unstable,1 – I cannot afford these items,220.0
"$15,000 to $24,999",39.0,No,Unstable,3 – my time fluctuates,15812.0
"$15,000 to $24,999",25.0,Yes,Fluctuating,2 – I can afford only some of these items,17744.0
"$25,000 to $34,999",26.0,No,Unstable,2 – I can afford only some of these items,29016.0
"Under $15,000",23.0,Yes,Extremely unstable,1 – I cannot afford these items,11765.0
"Under $15,000",20.0,No,Unstable,2 – I can afford only some of these items,9463.0
"Under $15,000",36.0,Yes,Unstable,2 – I can afford only some of these items,11546.0
"Under $15,000",60.0,Yes,Unstable,2 – I can afford only some of these items,9005.0
"$15,000 to $24,999",64.0,No,Unstable,3 – my time fluctuates,18132.0
"Under $15,000",71.0,No,Fluctuating,2 – I can afford only some of these items,1546.0
"$15,000 to $24,999",32.0,Yes,Unstable,2 – I can afford only some of these items,22058.0
"$15,000 to $24,999",58.0,No,Extremely unstable,1 – I cannot afford these items,17504.0
"$35,000 to $49,999",26.0,No,Unstable,1 – I cannot afford these items,38961.0
"$25,000 to $34,999",55.0,No,Extremely unstable,1 – I cannot afford these items,29555.0
"Under $15,000",32.0,Yes,Unstable,1 – I cannot afford these items,4032.0
"$15,000 to $24,999",32.0,Yes,Stable,2 – I can afford only some of these items,23734.0
"Under $15,000",22.0,No,Fluctuating,2 – I can afford only some of these items,2448.0
"$15,000 to $24,999",53.0,No,Extremely unstable,1 – I cannot afford these items,23337.0
"$35,000 to $49,999",39.0,No,Fluctuating,2 – I can afford only some of these items,46024.0
"$25,000 to $34,999",30.0,Yes,Unstable,3 – my time fluctuates,34857.0
"$15,000 to $24,999",58.0,Yes,Fluctuating,2 – I can afford only some of these items,22883.0
"Under $15,000",28.0,No,Unstable,2 – I can afford only some of these items,8785.0
"Under $15,000",39.0,No,Extremely unstable,1 – I cannot afford these items,3213.0
"$25,000 to $34,999",40.0,No,Extremely unstable,1 – I cannot afford these items,28647.0
"$35,000 to $49,999",28.0,No,Fluctuating,2 – I can afford only some of these items,37403.0
"Under $15,000",44.0,Yes,Fluctuating,2 – I can afford only some of these items,148.0
"$50,000 to $74,999",42.0,No,Stable,2 – I can afford only some of these items,55480.0
"Under $15,000",29.0,No,Unstable,2 – I can afford only some of these items,11262.0
"$15,000 to $24,999",27.0,No,Fluctuating,3 – my time fluctuates,18074.0
"$15,000 to $24,999",47.0,No,Extremely unstable,2 – I can afford only some of these items,17544.0
"$25,000 to $34,999",23.0,No,Unstable,1 – I cannot afford these items,27403.0
"Under $15,000",25.0,Yes,Unstable,2 – I can afford only some of these items,14027.0
"$15,000 to $24,999",43.0,Yes,Unstable,2 – I can afford only some of these items,18089.0
"$35,000 to $49,999",68.0,Yes,Fluctuating,3 – my time fluctuates,42317.0
"$35,000 to $49,999",34.0,Yes,Fluctuating,3 – my time fluctuates,37877.0
"Under $15,000",23.0,No,Unstable,2 – I can afford only some of these items,1863.0
"$25,000 to $34,999",30.0,Yes,Unstable,1 – I cannot afford these items,25182.0
"$15,000 to $24,999",27.0,Yes,Fluctuating,2 – I can afford only some of these items,17192.0
"Under $15,000",26.0,No,Unstable,2 – I can afford only some of these items,4494.0
"Under $15,000",28.0,No,Extremely unstable,2 – I can afford only some of these items,679.0
"$25,000 to $34,999",51.0,No,Fluctuating,3 – my time fluctuates,30298.0
"$35,000 to $49,999",52.0,No,Extremely unstable,1 – I cannot afford these items,39178.0
"$15,000 to $24,999",32.0,No,Extremely unstable,1 – I cannot afford these items,23585.0
"$15,000 to $24,999",35.0,Yes,Unstable,2 – I can afford only some of these items,18234.0
"$25,000 to $34,999",54.0,Yes,Fluctuating,3 – my time fluctuates,30695.0
"$15,000 to $24,999",28.0,Yes,Unstable,2 – I can afford only some of these items,16462.0
"$15,000 to $24,999",26.0,No,Extremely unstable,1 – I cannot afford these items,23266.0
"Under $15,000",69.0,Yes,Fluctuating,3 – my time fluctuates,3327.0
"$35,000 to $49,999",30.0,No,Unstable,2 – I can afford only some of these items,39072.0
"$15,000 to $24,999",31.0,Yes,Unstable,2 – I can afford only some of these items,17854.0
"Under $15,000",27.0,No,Unstable,2 – I can afford only some of these items,169.0
"$15,000 to $24,999",32.0,No,Extremely unstable,1 – I cannot afford these items,23604.0
"$15,000 to $24,999",37.0,No,Unstable,1 – I cannot afford these items,22455.0
"$25,000 to $34,999",28.0,No,Fluctuating,1 – I cannot afford these items,34942.0
"$15,000 to $24,999",33.0,Yes,Unstable,2 – I can afford only some of these items,23437.0
"$15,000 to $24,999",27.0,Yes,Unstable,2 – I can afford only some of these items,15640.0
"$15,000 to $24,999",22.0,No,Unstable,3 – my time fluctuates,17699.0
"$50,000 to $74,999",47.0,No,Extremely unstable,2 – I can afford only some of these items,59873.0
"$15,000 to $24,999",33.0,No,Stable,3 – my time fluctuates,15785.0
"Under $15,000",34.0,No,Unstable,2 – I can afford only some of these items,2896.0
"Under $15,000",27.0,No,Extremely unstable,1 – I cannot afford these items,5891.0
"Under $15,000",43.0,No,Unstable,1 – I cannot afford these items,10792.0
"$35,000 to $49,999",35.0,No,Unstable,3 – my time fluctuates,44347.0
"$15,000 to $24,999",26.0,Yes,Stable,1 – I cannot afford these items,20004.0
"Under $15,000",61.0,No,Unstable,2 – I can afford only some of these items,2227.0
"$35,000 to $49,999",38.0,Yes,Fluctuating,3 – my time fluctuates,39632.0
"$15,000 to $24,999",30.0,Yes,Unstable,2 – I can afford only some of these items,21078.0
"$25,000 to $34,999",36.0,Yes,Fluctuating,4 – I can afford these items,33426.0
"$25,000 to $34,999",63.0,No,Unstable,2 – I can afford only some of these items,29449.0
"$35,000 to $49,999",26.0,No,Fluctuating,3 – my time fluctuates,49962.0
"$25,000 to $34,999",29.0,No,Unstable,2 – I can afford only some of these items,29921.0
"$15,000 to $24,999",25.0,No,Fluctuating,1 – I cannot afford these items,22619.0
"Under $15,000",45.0,No,Extremely unstable,1 – I cannot afford these items,909.0
"Under $15,000",22.0,No,Fluctuating,2 – I can afford only some of these items,11156.0
"$35,000 to $49,999",28.0,No,Fluctuating,1 – I cannot afford these items,47006.0
"Under $15,000",28.0,No,Unstable,1 – I cannot afford these items,2557.0
"$25,000 to $34,999",41.0,No,Extremely unstable,2 – I can afford only some of these items,25794.0
"$15,000 to $24,999",33.0,No,Unstable,1 – I cannot afford these items,18957.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,13868.0
"$25,000 to $34,999",45.0,No,Unstable,3 – my time fluctuates,25138.0
"Under $15,000",51.0,Yes,Extremely unstable,2 – I can afford only some of these items,12324.0
"$35,000 to $49,999",49.0,No,Unstable,2 – I can afford only some of these items,46327.0
"$50,000 to $74,999",28.0,Yes,Fluctuating,1 – I cannot afford these items,64770.0
"$25,000 to $34,999",26.0,No,Fluctuating,2 – I can afford only some of these items,30395.0
"Under $15,000",36.0,No,Fluctuating,2 – I can afford only some of these items,14551.0
"$35,000 to $49,999",47.0,No,Extremely unstable,2 – I can afford only some of these items,47637.0
"Under $15,000",30.0,No,Extremely unstable,1 – I cannot afford these items,6771.0
"Under $15,000",36.0,No,Unstable,1 – I cannot afford these items,14660.0
"$25,000 to $34,999",37.0,No,Unstable,1 – I cannot afford these items,27726.0
"$35,000 to $49,999",36.0,No,Unstable,2 – I can afford only some of these items,37628.0
"$15,000 to $24,999",35.0,Yes,Fluctuating,3 – my time fluctuates,23902.0
"$25,000 to $34,999",60.0,Yes,Unstable,3 – my time fluctuates,28038.0
"$25,000 to $34,999",30.0,No,Unstable,2 – I can afford only some of these items,28996.0
"$25,000 to $34,999",31.0,No,Unstable,2 – I can afford only some of these items,32967.0
"$50,000 to $74,999",33.0,No,Fluctuating,2 – I can afford only some of these items,52784.0
"$15,000 to $24,999",54.0,No,Unstable,1 – I cannot afford these items,21627.0
"$25,000 to $34,999",25.0,No,Unstable,2 – I can afford only some of these items,31447.0
"$15,000 to $24,999",36.0,Yes,Unstable,3 – my time fluctuates,20339.0
"$25,000 to $34,999",26.0,Yes,Fluctuating,2 – I can afford only some of these items,32438.0
"$15,000 to $24,999",31.0,Yes,Fluctuating,3 – my time fluctuates,17289.0
"Under $15,000",23.0,No,Extremely unstable,2 – I can afford only some of these items,4192.0
"$25,000 to $34,999",37.0,Yes,Unstable,2 – I can afford only some of these items,27590.0
"$35,000 to $49,999",67.0,Yes,Fluctuating,3 – my time fluctuates,48866.0
"$15,000 to $24,999",29.0,No,Unstable,2 – I can afford only some of these items,24933.0
"$25,000 to $34,999",34.0,Yes,Fluctuating,3 – my time fluctuates,32861.0
"$15,000 to $24,999",27.0,Yes,Unstable,2 – I can afford only some of these items,23365.0
"Under $15,000",21.0,No,Extremely unstable,1 – I cannot afford these items,12782.0
"Under $15,000",32.0,Yes,Fluctuating,2 – I can afford only some of these items,958.0
"$35,000 to $49,999",43.0,No,Unstable,3 – my time fluctuates,44921.0
"$25,000 to $34,999",50.0,No,Extremely unstable,1 – I cannot afford these items,34164.0
"Under $15,000",33.0,No,Unstable,1 – I cannot afford these items,1239.0
"$15,000 to $24,999",48.0,No,Unstable,2 – I can afford only some of these items,24990.0
"$15,000 to $24,999",65.0,No,Extremely unstable,1 – I cannot afford these items,20415.0
"Under $15,000",48.0,No,Extremely unstable,1 – I cannot afford these items,180.0
"$15,000 to $24,999",61.0,No,Unstable,1 – I cannot afford these items,18128.0
"$15,000 to $24,999",30.0,Yes,Unstable,2 – I can afford only some of these items,16457.0
"$15,000 to $24,999",29.0,Yes,Fluctuating,3 – my time fluctuates,22754.0
"$25,000 to $34,999",52.0,No,Unstable,3 – my time fluctuates,26349.0
"$15,000 to $24,999",23.0,Yes,Unstable,3 – my time fluctuates,15120.0
"Under $15,000",33.0,Yes,Fluctuating,2 – I can afford only some of these items,11431.0
"$25,000 to $34,999",25.0,No,Fluctuating,2 – I can afford only some of these items,27913.0
"Under $15,000",45.0,No,Extremely unstable,1 – I cannot afford these items,10743.0
"$15,000 to $24,999",31.0,Yes,Unstable,2 – I can afford only some of these items,15805.0
"$15,000 to $24,999",63.0,Yes,Fluctuating,1 – I cannot afford these items,21095.0
"$50,000 to $74,999",42.0,No,Unstable,1 – I cannot afford these items,61498.0
"Under $15,000",58.0,Yes,Fluctuating,3 – my time fluctuates,4900.0
"$15,000 to $24,999",24.0,No,Fluctuating,2 – I can afford only some of these items,20067.0
"$35,000 to $49,999",26.0,Yes,Unstable,1 – I cannot afford these items,37818.0
"Under $15,000",40.0,No,Unstable,2 – I can afford only some of these items,12096.0
"$25,000 to $34,999",31.0,Yes,Fluctuating,2 – I can afford only some of these items,30773.0
"Under $15,000",40.0,Yes,Fluctuating,3 – my time fluctuates,3504.0
"$15,000 to $24,999",40.0,Yes,Fluctuating,2 – I can afford only some of these items,15289.0
"$15,000 to $24,999",24.0,Yes,Unstable,3 – my time fluctuates,23916.0
"Under $15,000",52.0,No,Fluctuating,3 – my time fluctuates,3387.0
"$50,000 to $74,999",46.0,Yes,Stable,3 – my time fluctuates,74361.0
"$25,000 to $34,999",29.0,Yes,Fluctuating,3 – my time fluctuates,25854.0
"$25,000 to $34,999",70.0,No,Extremely unstable,1 – I cannot afford these items,25259.0
"$15,000 to $24,999",30.0,No,Extremely unstable,3 – my time fluctuates,24383.0
"Under $15,000",40.0,No,Extremely unstable,1 – I cannot afford these items,14294.0
"$25,000 to $34,999",23.0,No,Unstable,1 – I cannot afford these items,28874.0
"Under $15,000",28.0,No,Unstable,1 – I cannot afford these items,7677.0
"$25,000 to $34,999",39.0,No,Fluctuating,2 – I can afford only some of these items,28836.0
"$25,000 to $34,999",31.0,No,Unstable,2 – I can afford only some of these items,31228.0
"Under $15,000",59.0,No,Unstable,1 – I cannot afford these items,270.0
"$15,000 to $24,999",24.0,Yes,Unstable,1 – I cannot afford these items,19171.0
"$35,000 to $49,999",36.0,No,Unstable,1 – I cannot afford these items,45886.0
"Under $15,000",22.0,No,Extremely unstable,1 – I cannot afford these items,2488.0
"$15,000 to $24,999",38.0,Yes,Fluctuating,2 – I can afford only some of these items,15061.0
"$25,000 to $34,999",50.0,Yes,Unstable,2 – I can afford only some of these items,34461.0
"Under $15,000",61.0,No,Unstable,3 – my time fluctuates,6824.0
"$15,000 to $24,999",22.0,Yes,Fluctuating,2 – I can afford only some of these items,20491.0
"$25,000 to $34,999",36.0,No,Extremely unstable,2 – I can afford only some of these items,26120.0
"$25,000 to $34,999",34.0,No,Unstable,2 – I can afford only some of these items,25757.0
"$15,000 to $24,999",55.0,No,Extremely unstable,1 – I cannot afford these items,18981.0
"$15,000 to $24,999",52.0,Yes,Fluctuating,2 – I can afford only some of these items,23427.0
"$15,000 to $24,999",38.0,No,Extremely unstable,1 – I cannot afford these items,18868.0
"$25,000 to $34,999",35.0,No,Extremely unstable,3 – my time fluctuates,29129.0
"$15,000 to $24,999",32.0,Yes,Unstable,2 – I can afford only some of these items,20100.0
"$15,000 to $24,999",31.0,No,Fluctuating,1 – I cannot afford these items,16238.0
"$15,000 to $24,999",49.0,No,Unstable,1 – I cannot afford these items,15932.0
"Over $150,000",59.0,Yes,Extremely stable,5 – I have more than enough to afford materials,218496.0
"Under $15,000",23.0,No,Extremely unstable,1 – I cannot afford these items,4082.0
"$15,000 to $24,999",29.0,No,Extremely unstable,2 – I can afford only some of these items,21995.0
"$25,000 to $34,999",39.0,No,Fluctuating,2 – I can afford only some of these items,26643.0
"Under $15,000",41.0,No,Extremely unstable,1 – I cannot afford these items,12769.0
"$35,000 to $49,999",30.0,No,Fluctuating,3 – my time fluctuates,40906.0
"$15,000 to $24,999",36.0,Yes,Fluctuating,3 – my time fluctuates,24793.0
"$15,000 to $24,999",29.0,Yes,Unstable,1 – I cannot afford these items,18499.0
"$15,000 to $24,999",52.0,Yes,Unstable,2 – I can afford only some of these items,22018.0
"Under $15,000",54.0,Yes,Unstable,2 – I can afford only some of these items,7253.0
"$75,000 to $99,999",32.0,Yes,Extremely unstable,1 – I cannot afford these items,97298.0
"$15,000 to $24,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,21797.0
"$25,000 to $34,999",27.0,No,Fluctuating,2 – I can afford only some of these items,33600.0
"$15,000 to $24,999",63.0,Yes,Fluctuating,3 – my time fluctuates,17950.0
"$35,000 to $49,999",35.0,Yes,Unstable,1 – I cannot afford these items,41236.0
"$35,000 to $49,999",37.0,Yes,Fluctuating,3 – my time fluctuates,35781.0
"Under $15,000",41.0,Yes,Fluctuating,3 – my time fluctuates,5170.0
"Under $15,000",50.0,No,Unstable,2 – I can afford only some of these items,6491.0
"Under $15,000",30.0,No,Fluctuating,3 – my time fluctuates,12009.0
"$25,000 to $34,999",42.0,No,Unstable,2 – I can afford only some of these items,26483.0
"Under $15,000",26.0,No,Stable,3 – my time fluctuates,14248.0
"$15,000 to $24,999",21.0,No,Fluctuating,2 – I can afford only some of these items,17117.0
"$15,000 to $24,999",28.0,No,Unstable,1 – I cannot afford these items,18042.0
"$25,000 to $34,999",27.0,Yes,Unstable,3 – my time fluctuates,27912.0
"Under $15,000",23.0,No,Extremely unstable,2 – I can afford only some of these items,3321.0
"$15,000 to $24,999",23.0,Yes,Unstable,1 – I cannot afford these items,22705.0
"$15,000 to $24,999",42.0,No,Extremely unstable,1 – I cannot afford these items,20969.0
"Under $15,000",42.0,Yes,Fluctuating,2 – I can afford only some of these items,2035.0
"$25,000 to $34,999",47.0,No,Extremely unstable,1 – I cannot afford these items,28502.0
"Under $15,000",20.0,No,Unstable,2 – I can afford only some of these items,2240.0
"$15,000 to $24,999",57.0,No,Unstable,2 – I can afford only some of these items,24182.0
"$15,000 to $24,999",58.0,No,Fluctuating,3 – my time fluctuates,23202.0
"Under $15,000",52.0,No,Extremely unstable,1 – I cannot afford these items,14842.0
"$75,000 to $99,999",53.0,No,Stable,3 – my time fluctuates,88961.0
"$25,000 to $34,999",68.0,Yes,Fluctuating,3 – my time fluctuates,31568.0
"Under $15,000",29.0,Yes,Unstable,2 – I can afford only some of these items,4365.0
"$25,000 to $34,999",53.0,Yes,Extremely unstable,3 – my time fluctuates,32360.0
"$25,000 to $34,999",27.0,Yes,Unstable,3 – my time fluctuates,34886.0
"$35,000 to $49,999",43.0,Yes,Unstable,2 – I can afford only some of these items,41173.0
"$25,000 to $34,999",43.0,Yes,Unstable,3 – my time fluctuates,31442.0
"$35,000 to $49,999",54.0,No,Unstable,1 – I cannot afford these items,35565.0
"$15,000 to $24,999",70.0,No,Extremely unstable,2 – I can afford only some of these items,18915.0
"$25,000 to $34,999",32.0,No,Unstable,1 – I cannot afford these items,27720.0
"$25,000 to $34,999",60.0,No,Unstable,1 – I cannot afford these items,32722.0
"$35,000 to $49,999",28.0,No,Unstable,1 – I cannot afford these items,42653.0
"Under $15,000",46.0,No,Extremely unstable,1 – I cannot afford these items,14322.0
"$35,000 to $49,999",42.0,Yes,Fluctuating,2 – I can afford only some of these items,49943.0
"$15,000 to $24,999",38.0,Yes,Extremely unstable,1 – I cannot afford these items,23656.0
"$15,000 to $24,999",36.0,No,Unstable,2 – I can afford only some of these items,24609.0
"$15,000 to $24,999",31.0,Yes,Fluctuating,1 – I cannot afford these items,18779.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,18501.0
"$25,000 to $34,999",36.0,No,Unstable,3 – my time fluctuates,25270.0
"$50,000 to $74,999",45.0,Yes,Fluctuating,3 – my time fluctuates,69380.0
"$15,000 to $24,999",38.0,No,Unstable,3 – my time fluctuates,22207.0
"Under $15,000",22.0,No,Fluctuating,1 – I cannot afford these items,12204.0
"$15,000 to $24,999",24.0,No,Extremely unstable,1 – I cannot afford these items,17772.0
"Under $15,000",25.0,Yes,Unstable,2 – I can afford only some of these items,12710.0
"Under $15,000",40.0,Yes,Unstable,3 – my time fluctuates,10358.0
"Under $15,000",27.0,Yes,Fluctuating,3 – my time fluctuates,12252.0
"$25,000 to $34,999",25.0,No,Unstable,1 – I cannot afford these items,32298.0
"$35,000 to $49,999",27.0,Yes,Unstable,2 – I can afford only some of these items,49572.0
"Under $15,000",24.0,No,Fluctuating,2 – I can afford only some of these items,11567.0
"Under $15,000",30.0,No,Fluctuating,2 – I can afford only some of these items,6406.0
"Under $15,000",45.0,Yes,Extremely unstable,3 – my time fluctuates,12315.0
"$15,000 to $24,999",32.0,No,Unstable,2 – I can afford only some of these items,21402.0
"$15,000 to $24,999",23.0,No,Extremely unstable,2 – I can afford only some of these items,19305.0
"Under $15,000",25.0,No,Extremely unstable,1 – I cannot afford these items,12348.0
"Under $15,000",31.0,No,Fluctuating,2 – I can afford only some of these items,3677.0
"$15,000 to $24,999",33.0,No,Unstable,2 – I can afford only some of these items,19582.0
"Under $15,000",31.0,No,Unstable,2 – I can afford only some of these items,5213.0
"$15,000 to $24,999",27.0,Yes,Unstable,2 – I can afford only some of these items,19752.0
"Under $15,000",34.0,Yes,Unstable,1 – I cannot afford these items,13950.0
"$25,000 to $34,999",30.0,No,Unstable,2 – I can afford only some of these items,29043.0
"Under $15,000",44.0,No,Unstable,3 – my time fluctuates,3227.0
"$25,000 to $34,999",23.0,No,Unstable,1 – I cannot afford these items,34282.0
"Under $15,000",40.0,Yes,Unstable,2 – I can afford only some of these items,1476.0
"Under $15,000",65.0,No,Fluctuating,3 – my time fluctuates,12164.0
"Under $15,000",41.0,No,Extremely unstable,2 – I can afford only some of these items,2460.0
"$35,000 to $49,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,48709.0
"$35,000 to $49,999",47.0,No,Fluctuating,2 – I can afford only some of these items,46935.0
"$35,000 to $49,999",31.0,No,Unstable,2 – I can afford only some of these items,45961.0
"$15,000 to $24,999",54.0,No,Extremely unstable,2 – I can afford only some of these items,22328.0
"$35,000 to $49,999",31.0,Yes,Unstable,1 – I cannot afford these items,42412.0
"$15,000 to $24,999",25.0,Yes,Fluctuating,2 – I can afford only some of these items,17259.0
"$15,000 to $24,999",63.0,Yes,Unstable,3 – my time fluctuates,19998.0
"$15,000 to $24,999",41.0,Yes,Extremely unstable,2 – I can afford only some of these items,21249.0
"$35,000 to $49,999",68.0,Yes,Unstable,2 – I can afford only some of these items,41319.0
"$25,000 to $34,999",31.0,No,Unstable,1 – I cannot afford these items,33916.0
"Under $15,000",29.0,Yes,Fluctuating,3 – my time fluctuates,13675.0
"$25,000 to $34,999",27.0,Yes,Extremely unstable,2 – I can afford only some of these items,33334.0
"Under $15,000",35.0,No,Fluctuating,2 – I can afford only some of these items,4257.0
"$35,000 to $49,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,48567.0
"$35,000 to $49,999",54.0,No,Extremely unstable,2 – I can afford only some of these items,48576.0
"$25,000 to $34,999",44.0,Yes,Fluctuating,4 – I can afford these items,32260.0
"$15,000 to $24,999",46.0,No,Unstable,2 – I can afford only some of these items,23796.0
"$50,000 to $74,999",40.0,No,Unstable,2 – I can afford only some of these items,71054.0
"$35,000 to $49,999",38.0,No,Fluctuating,2 – I can afford only some of these items,42206.0
"Under $15,000",50.0,No,Unstable,2 – I can afford only some of these items,13988.0
"Under $15,000",44.0,No,Fluctuating,3 – my time fluctuates,5837.0
"$15,000 to $24,999",26.0,No,Unstable,3 – my time fluctuates,20161.0
"$15,000 to $24,999",62.0,Yes,Fluctuating,3 – my time fluctuates,16545.0
"Under $15,000",25.0,Yes,Unstable,2 – I can afford only some of these items,3273.0
"$15,000 to $24,999",34.0,No,Fluctuating,1 – I cannot afford these items,21872.0
"Under $15,000",32.0,No,Unstable,2 – I can afford only some of these items,10867.0
"$25,000 to $34,999",32.0,No,Unstable,1 – I cannot afford these items,25758.0
"Under $15,000",26.0,Yes,Fluctuating,3 – my time fluctuates,3221.0
"Under $15,000",27.0,No,Unstable,1 – I cannot afford these items,11968.0
"$25,000 to $34,999",27.0,No,Unstable,1 – I cannot afford these items,25553.0
"Under $15,000",71.0,Yes,Extremely unstable,1 – I cannot afford these items,13977.0
"$15,000 to $24,999",27.0,No,Unstable,2 – I can afford only some of these items,20177.0
"Under $15,000",29.0,No,Unstable,2 – I can afford only some of these items,2070.0
"$75,000 to $99,999",21.0,No,Unstable,1 – I cannot afford these items,94094.0
"$25,000 to $34,999",36.0,Yes,Fluctuating,3 – my time fluctuates,25012.0
"$25,000 to $34,999",41.0,No,Fluctuating,2 – I can afford only some of these items,25101.0
"$35,000 to $49,999",47.0,No,Fluctuating,3 – my time fluctuates,35875.0
"$25,000 to $34,999",57.0,No,Unstable,3 – my time fluctuates,33806.0
"Under $15,000",22.0,Yes,Fluctuating,2 – I can afford only some of these items,7387.0
"Under $15,000",67.0,Yes,Unstable,2 – I can afford only some of these items,9885.0
"Under $15,000",24.0,No,Unstable,2 – I can afford only some of these items,8045.0
"$15,000 to $24,999",37.0,Yes,Unstable,2 – I can afford only some of these items,20037.0
"$25,000 to $34,999",50.0,Yes,Fluctuating,3 – my time fluctuates,28811.0
"$35,000 to $49,999",30.0,Yes,Fluctuating,2 – I can afford only some of these items,40003.0
"Under $15,000",36.0,No,Unstable,2 – I can afford only some of these items,12572.0
"$25,000 to $34,999",29.0,Yes,Unstable,2 – I can afford only some of these items,27024.0
"Under $15,000",24.0,No,Fluctuating,2 – I can afford only some of these items,9920.0
"$35,000 to $49,999",27.0,No,Extremely unstable,1 – I cannot afford these items,45307.0
"Under $15,000",25.0,No,Extremely unstable,2 – I can afford only some of these items,4735.0
"$25,000 to $34,999",26.0,No,Fluctuating,2 – I can afford only some of these items,33916.0
"Under $15,000",25.0,No,Unstable,2 – I can afford only some of these items,7479.0
"$15,000 to $24,999",71.0,Yes,Unstable,2 – I can afford only some of these items,18667.0
"Under $15,000",35.0,No,Extremely unstable,1 – I cannot afford these items,8448.0
"Under $15,000",51.0,No,Unstable,1 – I cannot afford these items,14789.0
"$15,000 to $24,999",23.0,No,Extremely unstable,1 – I cannot afford these items,17712.0
"$15,000 to $24,999",62.0,Yes,Fluctuating,1 – I cannot afford these items,24289.0
"$25,000 to $34,999",37.0,No,Extremely unstable,1 – I cannot afford these items,33990.0
"$50,000 to $74,999",58.0,No,Extremely unstable,1 – I cannot afford these items,51372.0
"$15,000 to $24,999",30.0,Yes,Unstable,2 – I can afford only some of these items,15952.0
"$25,000 to $34,999",31.0,Yes,Unstable,1 – I cannot afford these items,29076.0
"$15,000 to $24,999",28.0,Yes,Fluctuating,2 – I can afford only some of these items,15032.0
"Under $15,000",43.0,No,Extremely unstable,1 – I cannot afford these items,8764.0
"$15,000 to $24,999",50.0,No,Unstable,2 – I can afford only some of these items,19841.0
"$25,000 to $34,999",39.0,Yes,Fluctuating,4 – I can afford these items,28655.0
"Under $15,000",28.0,Yes,Unstable,2 – I can afford only some of these items,5966.0
"$15,000 to $24,999",23.0,No,Unstable,2 – I can afford only some of these items,18554.0
"$35,000 to $49,999",75.0,No,Extremely unstable,2 – I can afford only some of these items,36310.0
"$15,000 to $24,999",42.0,No,Extremely unstable,1 – I cannot afford these items,17643.0
"Under $15,000",47.0,No,Extremely unstable,1 – I cannot afford these items,13945.0
"Under $15,000",29.0,Yes,Fluctuating,3 – my time fluctuates,4964.0
"Under $15,000",26.0,No,Unstable,2 – I can afford only some of these items,4028.0
"$25,000 to $34,999",23.0,Yes,Unstable,3 – my time fluctuates,29063.0
"$15,000 to $24,999",40.0,No,Extremely unstable,1 – I cannot afford these items,21113.0
"$25,000 to $34,999",32.0,Yes,Fluctuating,2 – I can afford only some of these items,26368.0
