id,lgbtqiap
K3AE48OZI0,Yes  
O0ITUXLB4W,Yes  
X4IJ4NFD8C,Yes  
H89XZNTPR5,Yes  
V1C8B2I49K,Yes  
F05XQE6NZ2,No  
IQVXPD1OF6,No  
9BLF62S8NU,Yes  
PBSQ5O9OJI,Yes  
917VV8TF29,No  
U1BNR36HED,No  
YIRPQGSQRU,No  
UMWJ3JRY8W,Yes  
IQXOJMEKQ8,No  
1EYBEF3V50,No  
14GR9VI2RL,No  
HW0HA1MFE7,Yes  
D44HVYSNOW,I prefer not to answer  
V9ABPEDEZ1,No  
R5S2QJNHZ3,Yes  
DQ14K34TYK,No  
OLEWWIIFYN,No  
Z59UY5I3H0,Yes  
N6UMT6EHHU,Yes  
ZMDA7SMNS9,Yes  
VT977O46II,Yes  
QUD9IUKCM7,No  
4CGUZ3VBE6,No  
RQUQ62V212,No  
GX3I9A4LYI,Yes  
UOZ0SI3H26,Yes  
M0O8I6ZPZE,I prefer not to answer  
8SUR86A0K1,No  
DEIPLFSTEQ,Yes  
JSH8T1TS0A,Yes  
CLV26JNZ2B,Yes  
ILYISCUXTP,No  
QOOQWA4ZIR,No  
3HIBLP12H8,No  
TMKBPEZUG6,Yes  
FCHK8UE6H3,Yes  
X58BPR1TOQ,Yes  
K5QATWWV0X,Yes  
RWT1G8FUDE,Yes  
SP1K1TT1V2,Yes  
89JNVXK500,No  
2BGPIAF6Q2,Yes  
AKGBZ3XMIA,No  
UNS1D1DZY6,I prefer not to answer  
5P5MI4TK1M,Yes  
WVPNH6ZUV5,Yes  
X1IBWCTIO1,Yes  
994Q4IV8JG,Yes  
12B93DMGFL,No  
ZP6D32REWE,Yes  
7FG6617L8K,Yes  
0LH1ALKH9Q,No  
0H5PV0JP5W,Yes  
IP1SRJR4E0,Yes  
O4N0LIWIQ9,No  
DUM60GW66D,No  
1WYJ5TB0I0,No  
S8EMDEBMD7,Yes  
UZXBP75W6B,No  
81TGS1CB33,Yes  
DDFPBX9XBS,No  
BHFTSZRRJJ,Yes  
65OWKGL1AU,No  
WGJHFEZE5Y,Yes  
6QLC8R1FYL,I prefer not to answer  
MDTNDLDN14,Yes  
P3O3VF3ID6,Yes  
8GS36QRK0J,No  
FLB1Z6M020,Yes  
D3WXEQUK5K,Yes  
HC36FZ40EL,No  
T6P6YIRAJQ,I prefer not to answer  
B1UMMTIICF,Yes  
1NFLRKR0DW,No  
YSOUI1L0P0,Yes  
IRBOPU8006,Yes  
6ZOMNX42T8,Yes  
XT8Z7V529U,Yes  
6QA84PJ7Q4,Yes  
GQECX58MER,No  
KG0N5G008K,I prefer not to answer  
B3C8XOGH7I,Yes  
OGDAD4LNF9,No  
QQWW6HXZHA,Yes  
ITLN9U58CR,No  
X85EKFRCWY,No  
AGVXWAGZ3S,Yes  
AZEK90J07L,No  
Q1NELJK5BB,Yes  
9JDIIK6N95,Yes  
QSXZRDLOJ3,Yes  
0XQHQHG394,Yes  
BBPJ23ZQ2A,No  
X1J8JF7OZB,Yes  
NEAXDHI82W,Yes  
GCAUCE6JAQ,I prefer not to answer  
EWRC3TQQZZ,I prefer not to answer  
D4JQSKPLTU,No  
45QFCXEMI5,No  
705IQZ5QM0,Yes  
4A7072QPJD,Yes  
36XUMWVSGN,I prefer not to answer  
Y9JPC0G91I,No  
KW4CXJJYPJ,Yes  
IF1WPZFM0A,No  
A6G1OJIW5G,Yes  
AAFHT7UX7R,Yes  
WMUKQ1FH1D,I prefer not to answer  
BKDYBK5HOF,No  
M6DO9O7BL0,Yes  
030WLQ0UBN,Yes  
OT99P5HWG5,No  
J6ESWUY4IZ,Yes  
4LNQG39N6O,I prefer not to answer  
4TG6DTE6DU,No  
Q3C6JA0L4Q,Yes  
N4D8QMDX6A,Yes  
O8QAKSXEBQ,I prefer not to answer  
N0W0OO59KW,No  
K8TOG5VTHT,Yes  
D5BVUQO2V9,No  
D189CKH1XX,I prefer not to answer  
UHAH919YX6,No  
KRW1JTQBS7,Yes  
WGSTA6JF0Q,Yes  
MRJWEITZNB,Yes  
RMU3JWLC6H,Yes  
KVBFH06N5G,Yes  
OILJ47HUT1,No  
M0ADY4XRHI,Yes  
MK5UUQV2B1,Yes  
5NIG1VFK2Y,No  
7VF97GN9DZ,No  
RYE6B1LSU6,Yes  
TLQ7AXV7A5,No  
WP02XQP1CL,No  
L57KAMSESB,Yes  
DZX3K09YCK,No  
3UZFRLE56F,Yes  
J2LC322T7C,Yes  
L33AMJB3MS,I prefer not to answer  
CA9H1BDYOD,Yes  
AYKJJ5QGB1,Yes  
83VHF2Q8SG,Yes  
NHUHRKQWF0,No  
8UISCO7NPB,Yes  
AP7EMMKK50,Yes  
VLEAI0WSM1,Yes  
OKPZDG4F7Y,No  
OX5SCTOO1F,No  
XB34S4FBJ9,Yes  
K5BO1BG1PS,Yes  
URY9YNX6CT,Yes  
RCW8JFVFQF,No  
WEMC74EPDM,No  
QXUWY9ZXGG,No  
KWLL53TBM3,No  
15IN8H0WA8,I prefer not to answer  
2FZSQPHLDL,No  
WV8NIUG9JS,I prefer not to answer  
5LFJYKR00L,No  
9FJAU5HUE6,Yes  
N6Q4CEJ1MQ,No  
J89P0SU19N,No  
GORAKD0NUM,Yes  
UKRBVCJMNP,No  
PY614T61IO,Yes  
U2MO3A5WX4,Yes  
3LKDBFPLS8,Yes  
BLGEUO8BBB,Yes  
WTE19G1NSG,No  
RG88DJMNM3,No  
2AZ88Q2755,Yes  
5U4Z2FRBIS,Yes  
D4I4D0XID9,No  
OYN9CRR650,No  
S41HGPNGL9,I prefer not to answer  
7JMWLBKB4P,Yes  
HCJEGT4TX6,No  
FAJQKMHR3X,Yes  
AQGH1DPKK4,No  
JKAD0039AX,No  
90EQS8ZSXE,No  
5ONHB9TNKS,No  
OYWLLG33NZ,Yes  
N83OE80ZG1,Yes  
8B3853ZH0E,Yes  
YVUZP4OA5I,No  
6KJ4VNADWC,Yes  
VO43R1WURT,Yes  
5AGWN93KXP,I prefer not to answer  
DTLWGBESBL,I prefer not to answer  
VHUB666J70,Yes  
FIWMB85779,Yes  
PU56HNOEBU,Yes  
3F1S42362A,No  
RD58RL2DSI,No  
B383XHOAAR,Yes  
421B1IJNMH,Yes  
DN8MGSI0B2,No  
I3XP5AWA8S,No  
YF54XALLTG,No  
HNE0N2VLTD,No  
