earning_mode,household_income_2021,debt,age,income
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,50.0,51489.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,50.0,57032.0
Art Practice,"$15,000 to $24,999",No,61.0,23950.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,61.0,23176.0
Unemployed,"Under $15,000",Yes,27.0,4824.0
Family Support,"Under $15,000",Yes,27.0,9370.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,13115.0
Unemployed,"$15,000 to $24,999",Yes,40.0,21193.0
One or More Part-time Jobs,"Under $15,000",No,42.0,4727.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,8258.0
Fulltime Job,"$35,000 to $49,999",Yes,31.0,48307.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,31.0,44770.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,27.0,18679.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,27.0,16833.0
Art Practice,"$15,000 to $24,999",Yes,26.0,16426.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,24122.0
Other,"$15,000 to $24,999",Yes,40.0,22500.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,38.0,34454.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,38.0,32756.0
Other,"$25,000 to $34,999",Yes,38.0,25055.0
Contracts or Temporary Jobs,"Under $15,000",Yes,30.0,3348.0
One or More Part-time Jobs,"Under $15,000",Yes,30.0,13369.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,28.0,44047.0
Art Practice,"Under $15,000",No,58.0,14553.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,20276.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,16110.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,43.0,30032.0
One or More Part-time Jobs,"Under $15,000",Prefer not to answer ,44.0,3539.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,45999.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,29.0,8668.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,35.0,30852.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,35.0,26336.0
Unemployed,"$15,000 to $24,999",Yes,25.0,19325.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,21339.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,11058.0
Unemployed,"$15,000 to $24,999",Yes,29.0,20922.0
Other,"$25,000 to $34,999",Yes,70.0,28519.0
Family Support,"$25,000 to $34,999",Yes,26.0,32340.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,31579.0
Unemployed,"Under $15,000",Yes,41.0,7942.0
Fulltime Job,"$25,000 to $34,999",No,25.0,27396.0
Art Practice,"$15,000 to $24,999",Yes,34.0,23604.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,24358.0
Art Practice,"$15,000 to $24,999",No,43.0,21741.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,29.0,25214.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,34901.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,50.0,16556.0
Fulltime Job,"$15,000 to $24,999",Yes,19.0,22492.0
One or More Part-time Jobs,"$75,000 to $99,999",Yes,64.0,90383.0
Unemployed,"$15,000 to $24,999",No,56.0,19137.0
Family Support,"$15,000 to $24,999",No,56.0,18928.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,56.0,16690.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,2976.0
One or More Part-time Jobs,"Under $15,000",Yes,29.0,13931.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,26.0,37964.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,36.0,27067.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,23719.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,31.0,19951.0
Other,"$15,000 to $24,999",Yes,31.0,18846.0
Unemployed,"$15,000 to $24,999",Yes,30.0,21409.0
Art Practice,"$15,000 to $24,999",Yes,30.0,20443.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,21964.0
Art Practice,"$35,000 to $49,999",Yes,36.0,43793.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,36.0,39930.0
Family Support,"$50,000 to $74,999",Yes,38.0,55156.0
Fulltime Job,"$50,000 to $74,999",Yes,38.0,59343.0
Other,"Under $15,000",No,40.0,7253.0
Fulltime Job,"$25,000 to $34,999",Yes,24.0,32267.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,11055.0
Art Practice,"$15,000 to $24,999",Yes,32.0,24026.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,23134.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,32.0,19985.0
Art Practice,"$35,000 to $49,999",No,31.0,37973.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,31.0,40119.0
Fulltime Job,"$50,000 to $74,999",Yes,31.0,63365.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,28.0,48969.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,28.0,48895.0
Other,"$15,000 to $24,999",No,49.0,23392.0
One or More Part-time Jobs,"$25,000 to $34,999",No,27.0,30976.0
Unemployed,"$25,000 to $34,999",Yes,46.0,27519.0
Other,"$25,000 to $34,999",Yes,46.0,29310.0
Unemployed,"Under $15,000",Yes,20.0,7766.0
Family Support,"Under $15,000",Yes,20.0,9343.0
Contracts or Temporary Jobs,"Under $15,000",Yes,20.0,2146.0
Unemployed,"Under $15,000",Yes,35.0,13910.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,47.0,30677.0
One or More Part-time Jobs,"$25,000 to $34,999",No,47.0,26393.0
Unemployed,"Under $15,000",Yes,55.0,5970.0
