earning_mode,household_income_2021,debt,age,income
Family Support,"Under $15,000",Yes,32.0,9591.0
Art Practice,"Under $15,000",Yes,32.0,8393.0
Contracts or Temporary Jobs,"Under $15,000",Yes,32.0,14716.0
Art Practice,"$25,000 to $34,999",Yes,56.0,28147.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,56.0,25590.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,56.0,30980.0
Other,"$25,000 to $34,999",Yes,56.0,33094.0
Unemployed,"Under $15,000",No,26.0,10002.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,18401.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,21847.0
Unemployed,"Under $15,000",Yes,38.0,10517.0
Unemployed,"Under $15,000",Yes,24.0,7066.0
Art Practice,"Under $15,000",Yes,24.0,12728.0
Contracts or Temporary Jobs,"Under $15,000",Yes,24.0,5247.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,31.0,40368.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,31.0,42563.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,44.0,68380.0
Other,"$50,000 to $74,999",Yes,44.0,65232.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,16286.0
Other,"$15,000 to $24,999",Yes,24.0,21093.0
Art Practice,"Under $15,000",Yes,44.0,11723.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,15916.0
Fulltime Job,"$50,000 to $74,999",Yes,22.0,62127.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,22.0,63284.0
Family Support,"$50,000 to $74,999",No,29.0,64550.0
Contracts or Temporary Jobs,"$50,000 to $74,999",No,29.0,62182.0
Unemployed,"$25,000 to $34,999",Yes,24.0,29019.0
Unemployed,"$15,000 to $24,999",Yes,61.0,18543.0
Unemployed,"$15,000 to $24,999",Prefer not to answer ,26.0,21452.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,6394.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,18839.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,17660.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,19461.0
Unemployed,"$25,000 to $34,999",Prefer not to answer ,24.0,29817.0
Family Support,"$25,000 to $34,999",Prefer not to answer ,24.0,34348.0
Unemployed,"$50,000 to $74,999",Yes,44.0,61910.0
Art Practice,"$50,000 to $74,999",Yes,44.0,57578.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,44.0,72872.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,23100.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,25.0,64722.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,25.0,64977.0
Fulltime Job,"$25,000 to $34,999",Yes,27.0,32435.0
Contracts or Temporary Jobs,"$75,000 to $99,999",Yes,37.0,76356.0
Art Practice,"Under $15,000",No,34.0,3697.0
Contracts or Temporary Jobs,"Under $15,000",No,34.0,7710.0
Unemployed,"$15,000 to $24,999",Yes,43.0,20790.0
Art Practice,"$15,000 to $24,999",Yes,43.0,24662.0
Art Practice,"$25,000 to $34,999",Yes,31.0,29935.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,31.0,27156.0
Unemployed,"Under $15,000",Yes,36.0,6071.0
Family Support,"Under $15,000",Yes,36.0,9270.0
Unemployed,"Under $15,000",No,49.0,14049.0
Art Practice,"Under $15,000",No,49.0,11087.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,21352.0
Unemployed,"$15,000 to $24,999",Yes,51.0,23136.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,51.0,23592.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,26.0,22262.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,26.0,24445.0
Art Practice,"Under $15,000",Yes,31.0,11472.0
Unemployed,"Under $15,000",Yes,26.0,12728.0
Family Support,"Under $15,000",Yes,26.0,13826.0
Art Practice,"$15,000 to $24,999",Yes,35.0,19225.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,35.0,21879.0
Contracts or Temporary Jobs,"Under $15,000",No,27.0,1234.0
One or More Part-time Jobs,"Under $15,000",No,27.0,3719.0
Fulltime Job,"$50,000 to $74,999",Yes,40.0,61286.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,27.0,21841.0
Unemployed,"Under $15,000",Yes,49.0,2817.0
Contracts or Temporary Jobs,"Under $15,000",Yes,49.0,11500.0
Art Practice,"Under $15,000",Yes,27.0,1513.0
Contracts or Temporary Jobs,"Under $15,000",Yes,27.0,2238.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,40533.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,29.0,37421.0
One or More Part-time Jobs,"$25,000 to $34,999",No,52.0,26050.0
Unemployed,"$15,000 to $24,999",Yes,43.0,24920.0
Family Support,"Under $15,000",Yes,48.0,14373.0
One or More Part-time Jobs,"Under $15,000",No,27.0,2667.0
Fulltime Job,"$15,000 to $24,999",Yes,31.0,21965.0
Contracts or Temporary Jobs,"$35,000 to $49,999",No,34.0,37851.0
One or More Part-time Jobs,"$35,000 to $49,999",No,34.0,36267.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,46.0,30874.0
Fulltime Job,"$35,000 to $49,999",Yes,26.0,49258.0
Unemployed,"$15,000 to $24,999",Yes,37.0,19649.0
Unemployed,"Under $15,000",Yes,44.0,1142.0
Art Practice,"Under $15,000",Yes,44.0,5869.0
One or More Part-time Jobs,"Under $15,000",Yes,20.0,5402.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,43879.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,26.0,31661.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,30249.0
Unemployed,"Under $15,000",No,30.0,4466.0
Family Support,"Under $15,000",No,30.0,13703.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,17368.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,23951.0
Unemployed,"$35,000 to $49,999",Yes,43.0,36162.0
Family Support,"$35,000 to $49,999",Yes,43.0,46032.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,39.0,34912.0
One or More Part-time Jobs,"$25,000 to $34,999",No,39.0,26646.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,21775.0
Unemployed,"$15,000 to $24,999",Yes,26.0,21452.0
Family Support,"$15,000 to $24,999",Yes,26.0,15863.0
Unemployed,"Under $15,000",Yes,24.0,1484.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,6483.0
One or More Part-time Jobs,"Under $15,000",Yes,32.0,14112.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,11255.0
One or More Part-time Jobs,"Under $15,000",Yes,25.0,560.0
Other,"Under $15,000",Yes,25.0,4924.0
Unemployed,"$25,000 to $34,999",Yes,30.0,28515.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,31.0,24053.0
Unemployed,"Under $15,000",Yes,26.0,3646.0
Family Support,"Under $15,000",Yes,26.0,5198.0
Unemployed,"$15,000 to $24,999",No,27.0,16165.0
Family Support,"$15,000 to $24,999",No,27.0,16618.0
Art Practice,"$15,000 to $24,999",No,27.0,24001.0
Family Support,"$25,000 to $34,999",Yes,33.0,33121.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,33.0,30007.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,33.0,34056.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,27.0,23051.0
Unemployed,"Under $15,000",No,38.0,4211.0
Unemployed,"Under $15,000",Yes,25.0,574.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,23.0,16184.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,23.0,15737.0
Art Practice,"$15,000 to $24,999",Yes,40.0,24030.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,40.0,15729.0
Family Support,"$50,000 to $74,999",Yes,36.0,56941.0
Fulltime Job,"$15,000 to $24,999",Yes,23.0,24120.0
Unemployed,"Under $15,000",Yes,33.0,2384.0
Contracts or Temporary Jobs,"Under $15,000",Yes,33.0,5595.0
Contracts or Temporary Jobs,"$50,000 to $74,999",Yes,53.0,74902.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,53.0,73639.0
Unemployed,"Under $15,000",Yes,34.0,11985.0
Contracts or Temporary Jobs,"Under $15,000",Yes,34.0,8667.0
Family Support,"$35,000 to $49,999",Yes,34.0,47772.0
Art Practice,"$35,000 to $49,999",Yes,34.0,45356.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,31.0,19144.0
One or More Part-time Jobs,"$15,000 to $24,999",Prefer not to answer ,31.0,23417.0
Family Support,"$15,000 to $24,999",Yes,27.0,20822.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,17717.0
Unemployed,"$25,000 to $34,999",Yes,32.0,34652.0
Unemployed,"Under $15,000",Prefer not to answer ,33.0,2075.0
Art Practice,"Under $15,000",Prefer not to answer ,33.0,7827.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,33.0,9480.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,34.0,41819.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,34.0,35798.0
Unemployed,"$25,000 to $34,999",No,51.0,30260.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,51.0,27202.0
Contracts or Temporary Jobs,"Under $15,000",Yes,35.0,7353.0
Fulltime Job,"$75,000 to $99,999",Yes,26.0,88622.0
One or More Part-time Jobs,"Under $15,000",Yes,23.0,12014.0
One or More Part-time Jobs,"$50,000 to $74,999",Yes,36.0,74534.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,23.0,41080.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,51.0,21618.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,51.0,19428.0
Unemployed,"$25,000 to $34,999",Yes,52.0,28575.0
Family Support,"$25,000 to $34,999",Yes,52.0,34410.0
Unemployed,"Under $15,000",Yes,24.0,2282.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,28623.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,32.0,32905.0
Fulltime Job,"$25,000 to $34,999",Yes,42.0,29540.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,20750.0
Family Support,"$25,000 to $34,999",Yes,40.0,25865.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,30397.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,42.0,21949.0
Art Practice,"Under $15,000",No,24.0,6871.0
Unemployed,"$15,000 to $24,999",Yes,25.0,19563.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,24.0,29121.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,24.0,26279.0
Art Practice,"$15,000 to $24,999",Yes,67.0,16845.0
Fulltime Job,"$35,000 to $49,999",Yes,36.0,36513.0
Art Practice,"$25,000 to $34,999",Yes,59.0,27580.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,59.0,25922.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,59.0,24846.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,59.0,23781.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,53.0,48480.0
Contracts or Temporary Jobs,"Under $15,000",No,29.0,13478.0
One or More Part-time Jobs,"Under $15,000",No,29.0,2954.0
Unemployed,"Under $15,000",Yes,32.0,11643.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,42.0,15956.0
Unemployed,"Under $15,000",No,23.0,9892.0
Art Practice,"Under $15,000",No,23.0,4113.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,37.0,47903.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,88.0,33483.0
Other,"$25,000 to $34,999",Yes,88.0,29243.0
Unemployed,"Under $15,000",Yes,25.0,13412.0
Unemployed,"$35,000 to $49,999",Yes,24.0,42906.0
Family Support,"$25,000 to $34,999",No,20.0,27619.0
One or More Part-time Jobs,"$25,000 to $34,999",No,20.0,28128.0
Art Practice,"$15,000 to $24,999",Yes,24.0,22890.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,24.0,15471.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,23354.0
Family Support,"$35,000 to $49,999",Yes,50.0,43003.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,50.0,46345.0
One or More Part-time Jobs,"$15,000 to $24,999",No,25.0,20307.0
Art Practice,"$15,000 to $24,999",Yes,32.0,18414.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,32.0,17569.0
Other,"$25,000 to $34,999",Prefer not to answer ,67.0,32100.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,27.0,20099.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,31.0,33536.0
One or More Part-time Jobs,"$25,000 to $34,999",No,31.0,27538.0
Art Practice,"Under $15,000",Yes,31.0,12395.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,35.0,28931.0
Fulltime Job,"$25,000 to $34,999",Yes,33.0,32507.0
Unemployed,"$25,000 to $34,999",Yes,37.0,27499.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,46.0,22151.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,46.0,20762.0
Other,"Under $15,000",Yes,43.0,3502.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,44.0,19719.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,44.0,17180.0
Other,"$15,000 to $24,999",Yes,44.0,16862.0
Unemployed,"$50,000 to $74,999",Yes,27.0,58755.0
Art Practice,"Under $15,000",Yes,68.0,6956.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,85.0,35531.0
Unemployed,"Under $15,000",No,33.0,6698.0
Unemployed,"Under $15,000",Yes,57.0,1259.0
Family Support,"$15,000 to $24,999",No,35.0,16776.0
Art Practice,"$15,000 to $24,999",No,35.0,17707.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,35.0,19227.0
Unemployed,"$35,000 to $49,999",No,31.0,40795.0
Fulltime Job,"$25,000 to $34,999",Yes,33.0,34581.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,33.0,28787.0
Unemployed,"$75,000 to $99,999",Yes,35.0,76569.0
One or More Part-time Jobs,"Under $15,000",No,57.0,10833.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,31.0,23795.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,30.0,17109.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,29.0,34482.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,29767.0
Art Practice,"$15,000 to $24,999",Yes,36.0,16224.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,36.0,24566.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,36.0,15146.0
Unemployed,"$35,000 to $49,999",Yes,29.0,48967.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,37679.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,29.0,40257.0
Unemployed,"Under $15,000",Yes,44.0,7228.0
Art Practice,"$25,000 to $34,999",No,59.0,29686.0
Unemployed,"Under $15,000",Yes,25.0,107.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,7051.0
One or More Part-time Jobs,"Under $15,000",Yes,37.0,10489.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,35.0,31884.0
Unemployed,"Under $15,000",Yes,24.0,7296.0
Family Support,"Under $15,000",Yes,24.0,6529.0
Art Practice,"Under $15,000",Yes,24.0,2835.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,24.0,16491.0
Fulltime Job,"$15,000 to $24,999",Yes,35.0,18674.0
Fulltime Job,"$50,000 to $74,999",Yes,52.0,73602.0
Unemployed,"$15,000 to $24,999",Yes,46.0,16016.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,46.0,19877.0
Unemployed,"Under $15,000",No,26.0,10810.0
Other,"Under $15,000",No,26.0,8413.0
Unemployed,"$35,000 to $49,999",No,26.0,36245.0
Art Practice,"$35,000 to $49,999",No,26.0,45454.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,26070.0
Unemployed,"Under $15,000",Yes,62.0,3840.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,42.0,48874.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,42.0,49351.0
Other,"$35,000 to $49,999",Yes,42.0,43919.0
Unemployed,"$25,000 to $34,999",Yes,23.0,26390.0
Family Support,"$25,000 to $34,999",Yes,23.0,34912.0
Unemployed,"$15,000 to $24,999",No,34.0,21852.0
Unemployed,"$25,000 to $34,999",Yes,26.0,30366.0
Art Practice,"$25,000 to $34,999",Yes,26.0,28751.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,20460.0
Unemployed,"Under $15,000",Yes,43.0,8625.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,52.0,37943.0
Unemployed,"$25,000 to $34,999",Yes,25.0,25679.0
Unemployed,"Under $15,000",Yes,26.0,7714.0
Unemployed,"$15,000 to $24,999",Yes,25.0,21384.0
Unemployed,"$25,000 to $34,999",Yes,36.0,30713.0
Family Support,"$25,000 to $34,999",Yes,36.0,25769.0
Art Practice,"$25,000 to $34,999",Yes,36.0,32458.0
Unemployed,"Under $15,000",Yes,32.0,3606.0
Family Support,"Under $15,000",Yes,32.0,13437.0
Contracts or Temporary Jobs,"Under $15,000",Yes,32.0,6350.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,33208.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,40.0,28275.0
Fulltime Job,"$35,000 to $49,999",Yes,59.0,39747.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,59.0,42515.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,40.0,40817.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,59.0,36363.0
One or More Part-time Jobs,"$15,000 to $24,999",No,27.0,20281.0
Other,"$15,000 to $24,999",No,27.0,20894.0
Unemployed,"$15,000 to $24,999",Yes,43.0,15953.0
Unemployed,"Under $15,000",Yes,50.0,2234.0
Fulltime Job,"$15,000 to $24,999",No,21.0,16824.0
Other,"Under $15,000",Yes,81.0,10641.0
One or More Part-time Jobs,"Under $15,000",Yes,34.0,5680.0
Unemployed,"$15,000 to $24,999",Yes,46.0,20785.0
Art Practice,"Under $15,000",Yes,25.0,3039.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,12212.0
Unemployed,"Under $15,000",Yes,37.0,13541.0
Contracts or Temporary Jobs,"Under $15,000",No,35.0,2126.0
Other,"Under $15,000",Yes,59.0,1450.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,28.0,48726.0
Art Practice,"Under $15,000",No,63.0,11468.0
Contracts or Temporary Jobs,"Under $15,000",No,63.0,75.0
Art Practice,"$15,000 to $24,999",Yes,45.0,22073.0
Family Support,"$25,000 to $34,999",Yes,51.0,33868.0
Art Practice,"$25,000 to $34,999",Yes,51.0,33235.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,37.0,40219.0
Other,"$25,000 to $34,999",No,67.0,32819.0
Other,"$25,000 to $34,999",Yes,46.0,27644.0
Contracts or Temporary Jobs,"Under $15,000",Prefer not to answer ,35.0,1203.0
One or More Part-time Jobs,"$25,000 to $34,999",No,26.0,29209.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,21866.0
One or More Part-time Jobs,"Under $15,000",Prefer not to answer ,29.0,14381.0
Unemployed,"Under $15,000",No,61.0,12057.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,34.0,17719.0
Unemployed,"$15,000 to $24,999",No,43.0,20209.0
Contracts or Temporary Jobs,"$15,000 to $24,999",No,43.0,24091.0
Art Practice,"$35,000 to $49,999",Yes,30.0,40558.0
Fulltime Job,"$35,000 to $49,999",Yes,30.0,48189.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,44809.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,25.0,22773.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,25.0,23519.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,63.0,38211.0
Fulltime Job,"$35,000 to $49,999",Yes,29.0,44695.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,44368.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,28.0,29807.0
Unemployed,"$15,000 to $24,999",Yes,55.0,17419.0
Other,"$15,000 to $24,999",Yes,55.0,17502.0
Unemployed,"Under $15,000",Yes,56.0,5720.0
Fulltime Job,"$15,000 to $24,999",Yes,26.0,16963.0
Unemployed,"Under $15,000",Yes,39.0,9625.0
Art Practice,"Under $15,000",Yes,39.0,8762.0
Other,"Under $15,000",Yes,39.0,2741.0
Unemployed,"$15,000 to $24,999",Prefer not to answer ,40.0,17033.0
Art Practice,"$15,000 to $24,999",Prefer not to answer ,40.0,21476.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,40.0,18366.0
Unemployed,"Under $15,000",Yes,45.0,14871.0
Contracts or Temporary Jobs,"Under $15,000",Yes,45.0,5846.0
Family Support,"$50,000 to $74,999",Yes,38.0,55767.0
Art Practice,"$50,000 to $74,999",Yes,38.0,65827.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,29.0,34397.0
Fulltime Job,"$35,000 to $49,999",Yes,35.0,47713.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,35.0,47037.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Prefer not to answer ,30.0,24965.0
Unemployed,"Under $15,000",Yes,29.0,4981.0
Art Practice,"Under $15,000",Yes,29.0,2644.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,14813.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,30.0,34124.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,30.0,32384.0
Art Practice,"$25,000 to $34,999",Yes,45.0,34825.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,45.0,33817.0
Fulltime Job,"$15,000 to $24,999",Yes,0.0,20804.0
Unemployed,"Under $15,000",Yes,29.0,6994.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,13575.0
Other,"Under $15,000",Yes,29.0,12372.0
Family Support,"$15,000 to $24,999",Yes,28.0,23369.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,21273.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,24448.0
Art Practice,"Under $15,000",Yes,33.0,75.0
Contracts or Temporary Jobs,"Under $15,000",Yes,33.0,8948.0
Fulltime Job,"$25,000 to $34,999",Yes,31.0,33462.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,31.0,30690.0
Unemployed,"$15,000 to $24,999",Yes,24.0,19090.0
Fulltime Job,"$50,000 to $74,999",Yes,28.0,63733.0
Fulltime Job,"$35,000 to $49,999",Yes,40.0,38826.0
Fulltime Job,"$35,000 to $49,999",Yes,30.0,40325.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,30.0,41280.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,30.0,42298.0
Unemployed,"$15,000 to $24,999",No,61.0,15254.0
Family Support,"$15,000 to $24,999",No,61.0,15748.0
Art Practice,"$15,000 to $24,999",No,61.0,17358.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,27.0,26903.0
One or More Part-time Jobs,"$25,000 to $34,999",No,27.0,25201.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,40.0,25018.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,40.0,27493.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,28.0,16340.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,28.0,21266.0
One or More Part-time Jobs,"$25,000 to $34,999",No,20.0,25955.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,26.0,25210.0
Unemployed,"Under $15,000",Yes,23.0,10087.0
Other,"Under $15,000",Yes,23.0,5710.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,34.0,23221.0
Art Practice,"Under $15,000",Yes,34.0,598.0
Contracts or Temporary Jobs,"Under $15,000",Yes,34.0,5902.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,35.0,18367.0
Unemployed,"Under $15,000",No,27.0,5648.0
Unemployed,"$15,000 to $24,999",Yes,27.0,18351.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,27.0,23844.0
Unemployed,"Under $15,000",Yes,25.0,11013.0
Contracts or Temporary Jobs,"Under $15,000",Yes,25.0,7513.0
Contracts or Temporary Jobs,"$75,000 to $99,999",No,71.0,83567.0
Unemployed,"Under $15,000",Yes,29.0,1687.0
Family Support,"Under $15,000",Yes,29.0,8589.0
Art Practice,"Under $15,000",Yes,29.0,11576.0
Contracts or Temporary Jobs,"Under $15,000",Yes,29.0,871.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,53.0,48322.0
Family Support,"$35,000 to $49,999",Yes,38.0,41117.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,38.0,36770.0
Unemployed,"$15,000 to $24,999",Yes,46.0,22242.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,46.0,16727.0
Unemployed,"Under $15,000",No,30.0,8484.0
Art Practice,"Under $15,000",No,30.0,2650.0
Contracts or Temporary Jobs,"Under $15,000",No,30.0,14442.0
Unemployed,"$15,000 to $24,999",No,60.0,20915.0
One or More Part-time Jobs,"$25,000 to $34,999",Yes,27.0,28444.0
Other,"Under $15,000",Yes,74.0,11942.0
Family Support,"$50,000 to $74,999",Yes,28.0,69927.0
Art Practice,"$50,000 to $74,999",Yes,28.0,58872.0
Contracts or Temporary Jobs,"Under $15,000",Yes,37.0,5484.0
Unemployed,"Under $15,000",Yes,31.0,5334.0
Family Support,"Under $15,000",Yes,31.0,9463.0
Art Practice,"Under $15,000",Yes,31.0,14235.0
Contracts or Temporary Jobs,"Under $15,000",Yes,31.0,13373.0
Family Support,"$15,000 to $24,999",Yes,29.0,22345.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,29.0,18008.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,29.0,23548.0
One or More Part-time Jobs,"Under $15,000",Yes,27.0,4743.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,58.0,39535.0
Other,"Under $15,000",Yes,36.0,5776.0
Unemployed,"$35,000 to $49,999",Yes,29.0,38793.0
Contracts or Temporary Jobs,"$35,000 to $49,999",Yes,29.0,42387.0
One or More Part-time Jobs,"$35,000 to $49,999",Yes,29.0,48286.0
Contracts or Temporary Jobs,"$25,000 to $34,999",Yes,25.0,31325.0
Unemployed,"Under $15,000",No,19.0,14326.0
Other,"Under $15,000",No,19.0,14690.0
One or More Part-time Jobs,"$25,000 to $34,999",No,19.0,26482.0
Contracts or Temporary Jobs,"$25,000 to $34,999",No,68.0,30462.0
Unemployed,"$15,000 to $24,999",Yes,33.0,15243.0
Contracts or Temporary Jobs,"$15,000 to $24,999",Yes,33.0,18464.0
One or More Part-time Jobs,"$15,000 to $24,999",Yes,33.0,19929.0
Unemployed,"Under $15,000",No,37.0,3678.0
Family Support,"Under $15,000",No,37.0,784.0
Contracts or Temporary Jobs,"Under $15,000",No,37.0,12713.0
One or More Part-time Jobs,"Under $15,000",No,23.0,7761.0
Other,"Under $15,000",No,23.0,1627.0
